INFO 2026-03-11 05:28:53,382 basehttp "GET /static/vendor/adminlte/img/AdminLTELogo.png HTTP/1.1" 304 0
INFO 2026-03-11 05:28:53,382 basehttp "GET /static/vendor/adminlte/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2026-03-11 05:28:53,383 basehttp "GET /static/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2026-03-11 05:28:53,388 basehttp "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 304 0
INFO 2026-03-11 05:28:53,396 basehttp "GET /static/jazzmin/js/main.js HTTP/1.1" 304 0
INFO 2026-03-11 05:28:53,421 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2026-03-11 05:28:53,421 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2026-03-11 05:28:58,190 basehttp "GET / HTTP/1.1" 200 275
INFO 2026-03-11 05:29:00,221 basehttp "GET /api/dashboard/stats/ HTTP/1.1" 200 78
INFO 2026-03-11 05:29:02,518 basehttp "GET /admin/ HTTP/1.1" 200 14306
INFO 2026-03-11 09:39:31,298 autoreload Watching for file changes with StatReloader
INFO 2026-03-11 09:39:35,632 basehttp "GET / HTTP/1.1" 200 275
WARNING 2026-03-11 09:39:35,727 log Not Found: /favicon.ico
WARNING 2026-03-11 09:39:35,727 basehttp "GET /favicon.ico HTTP/1.1" 404 2497
INFO 2026-03-11 09:39:44,594 basehttp "GET /admin/ HTTP/1.1" 200 14306
INFO 2026-03-11 09:39:44,620 basehttp "GET /static/vendor/adminlte/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2026-03-11 09:39:44,622 basehttp "GET /static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2026-03-11 09:39:44,627 basehttp "GET /static/jazzmin/css/main.css HTTP/1.1" 304 0
INFO 2026-03-11 09:39:44,629 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-03-11 09:39:44,633 basehttp "GET /static/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2026-03-11 09:39:44,638 basehttp "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 304 0
INFO 2026-03-11 09:39:44,639 basehttp "GET /static/vendor/adminlte/img/AdminLTELogo.png HTTP/1.1" 304 0
INFO 2026-03-11 09:39:44,641 basehttp "GET /static/jazzmin/js/main.js HTTP/1.1" 304 0
INFO 2026-03-11 09:39:44,696 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2026-03-11 09:39:44,696 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2026-03-12 09:43:12,634 autoreload Watching for file changes with StatReloader
INFO 2026-03-12 09:43:14,354 basehttp "GET / HTTP/1.1" 200 275
WARNING 2026-03-12 09:43:14,524 log Not Found: /favicon.ico
WARNING 2026-03-12 09:43:14,525 basehttp "GET /favicon.ico HTTP/1.1" 404 2497
INFO 2026-03-12 09:43:16,597 basehttp "GET /admin/ HTTP/1.1" 200 14306
INFO 2026-03-12 09:43:16,624 basehttp "GET /static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2026-03-12 09:43:16,624 basehttp "GET /static/jazzmin/css/main.css HTTP/1.1" 304 0
INFO 2026-03-12 09:43:16,625 basehttp "GET /static/vendor/adminlte/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2026-03-12 09:43:16,628 basehttp "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 304 0
INFO 2026-03-12 09:43:16,631 basehttp "GET /static/jazzmin/js/main.js HTTP/1.1" 304 0
INFO 2026-03-12 09:43:16,631 basehttp "GET /static/vendor/adminlte/img/AdminLTELogo.png HTTP/1.1" 304 0
INFO 2026-03-12 09:43:16,632 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-03-12 09:43:16,633 basehttp "GET /static/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2026-03-12 09:43:16,697 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2026-03-12 09:43:16,697 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2026-03-12 09:43:19,996 basehttp "GET /admin/tasks/task/ HTTP/1.1" 200 14763
INFO 2026-03-12 09:43:20,018 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-03-12 09:43:20,018 basehttp "GET /static/vendor/select2/css/select2.min.css HTTP/1.1" 304 0
INFO 2026-03-12 09:43:20,020 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-03-12 09:43:20,021 basehttp "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-03-12 09:43:20,023 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-03-12 09:43:20,023 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-03-12 09:43:20,024 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-03-12 09:43:20,025 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-03-12 09:43:20,026 basehttp "GET /static/vendor/select2/js/select2.min.js HTTP/1.1" 304 0
INFO 2026-03-12 09:43:20,027 basehttp "GET /static/jazzmin/js/change_list.js HTTP/1.1" 304 0
INFO 2026-03-12 09:43:20,030 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 09:43:22,706 basehttp "GET /admin/tasks/task/1/change/ HTTP/1.1" 200 17596
INFO 2026-03-12 09:43:22,721 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2026-03-12 09:43:22,722 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-03-12 09:43:22,732 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 09:43:22,732 basehttp "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2026-03-12 09:43:22,733 basehttp "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2026-03-12 09:43:22,734 basehttp "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2026-03-12 09:43:22,738 basehttp "GET /static/jazzmin/js/change_form.js HTTP/1.1" 200 6045
INFO 2026-03-12 09:44:38,028 autoreload Watching for file changes with StatReloader
INFO 2026-03-12 09:44:46,388 basehttp "GET / HTTP/1.1" 200 275
WARNING 2026-03-12 09:44:46,467 log Not Found: /favicon.ico
WARNING 2026-03-12 09:44:46,467 basehttp "GET /favicon.ico HTTP/1.1" 404 2497
INFO 2026-03-12 09:44:48,432 basehttp "GET /admin/ HTTP/1.1" 200 14306
INFO 2026-03-12 10:00:07,636 autoreload /Users/macbook/Desktop/python_For_Beginners/employee_system/employee_system/settings.py changed, reloading.
INFO 2026-03-12 10:00:08,327 autoreload Watching for file changes with StatReloader
INFO 2026-03-12 10:06:16,284 autoreload /Users/macbook/Desktop/python_For_Beginners/employee_system/employee_system/settings.py changed, reloading.
INFO 2026-03-12 10:06:16,826 autoreload Watching for file changes with StatReloader
INFO 2026-03-12 10:56:45,884 autoreload Watching for file changes with StatReloader
INFO 2026-03-12 10:57:03,757 autoreload Watching for file changes with StatReloader
INFO 2026-03-12 10:58:06,033 autoreload Watching for file changes with StatReloader
INFO 2026-03-12 10:58:08,805 basehttp "GET / HTTP/1.1" 200 453
INFO 2026-03-12 10:58:12,171 basehttp "GET /admin/ HTTP/1.1" 200 14306
INFO 2026-03-12 10:58:15,016 basehttp "GET /api/dashboard/stats/ HTTP/1.1" 200 78
INFO 2026-03-12 10:58:18,192 basehttp "GET /health-check/ HTTP/1.1" 200 148
INFO 2026-03-12 10:58:20,161 basehttp "GET /admin/ HTTP/1.1" 200 14306
INFO 2026-03-12 10:58:30,280 basehttp "GET / HTTP/1.1" 200 453
WARNING 2026-03-12 10:58:30,403 log Not Found: /favicon.ico
WARNING 2026-03-12 10:58:30,403 basehttp "GET /favicon.ico HTTP/1.1" 404 2773
INFO 2026-03-12 10:58:32,209 basehttp "GET /admin/ HTTP/1.1" 200 14306
INFO 2026-03-12 10:58:36,710 basehttp "GET /admin/tasks/task/ HTTP/1.1" 200 14763
INFO 2026-03-12 10:58:36,735 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 10:58:38,114 basehttp "POST /admin/tasks/task/ HTTP/1.1" 302 0
INFO 2026-03-12 10:58:38,141 basehttp "GET /admin/tasks/task/ HTTP/1.1" 200 15293
INFO 2026-03-12 10:58:38,155 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 10:58:42,218 basehttp "GET /admin/tasks/task/1/change/ HTTP/1.1" 200 17596
INFO 2026-03-12 10:58:42,243 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 11:00:19,566 autoreload /Users/macbook/Desktop/python_For_Beginners/employee_system/employee_system/settings.py changed, reloading.
INFO 2026-03-12 11:00:20,019 autoreload Watching for file changes with StatReloader
INFO 2026-03-12 11:04:52,152 autoreload /Users/macbook/Desktop/python_For_Beginners/employee_system/employee_system/settings.py changed, reloading.
INFO 2026-03-12 11:04:52,558 autoreload Watching for file changes with StatReloader
INFO 2026-03-12 11:11:04,099 autoreload Watching for file changes with StatReloader
INFO 2026-03-12 11:11:07,219 basehttp "GET / HTTP/1.1" 200 453
WARNING 2026-03-12 11:11:07,444 log Not Found: /favicon.ico
WARNING 2026-03-12 11:11:07,445 basehttp "GET /favicon.ico HTTP/1.1" 404 2773
INFO 2026-03-12 11:11:09,098 basehttp "GET /admin/ HTTP/1.1" 200 14306
INFO 2026-03-12 11:18:28,727 autoreload Watching for file changes with StatReloader
INFO 2026-03-12 11:20:23,043 basehttp "GET / HTTP/1.1" 200 453
WARNING 2026-03-12 11:20:23,200 log Not Found: /favicon.ico
WARNING 2026-03-12 11:20:23,200 basehttp "GET /favicon.ico HTTP/1.1" 404 2773
WARNING 2026-03-12 11:20:36,212 log Method Not Allowed: /api/token/
WARNING 2026-03-12 11:20:36,213 basehttp "GET /api/token/ HTTP/1.1" 405 7511
INFO 2026-03-12 11:20:36,247 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2026-03-12 11:20:36,253 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2026-03-12 11:20:36,256 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2026-03-12 11:20:36,257 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2026-03-12 11:20:36,262 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2026-03-12 11:20:36,268 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2026-03-12 11:20:36,269 basehttp "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2026-03-12 11:20:36,273 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2026-03-12 11:20:36,274 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2026-03-12 11:20:36,276 basehttp "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2026-03-12 11:20:36,280 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2026-03-12 11:20:36,296 basehttp "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2026-03-12 11:23:44,498 basehttp "POST /api/token/ HTTP/1.1" 200 8161
INFO 2026-03-12 11:27:37,547 autoreload Watching for file changes with StatReloader
INFO 2026-03-12 11:27:39,359 basehttp "GET / HTTP/1.1" 200 453
WARNING 2026-03-12 11:27:50,170 log Not Found: /admin/ \u2192 Users
WARNING 2026-03-12 11:27:50,170 basehttp "GET /admin/%20%E2%86%92%20Users HTTP/1.1" 404 4614
INFO 2026-03-12 11:28:02,171 basehttp "GET /admin/ HTTP/1.1" 200 14306
INFO 2026-03-12 11:28:05,650 basehttp "GET /admin/auth/user/ HTTP/1.1" 200 19595
